"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"COPYRIGHT";"CREATED_BY";"CTR-MAX";"CTR-MIN";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PART_NUMBER";"HEIGHT";"IF";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MFR_NAME";"MOUNT";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PART-NUMBER";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"SF_SKU";"SPICEPREFIX";"TC-CTR";"TP_SIGNAL_NAME";"VALUE";"VCE";"VISO";
"4";"5k";"R-EU_R0805";"R0805";"R69, R70, R71, R72";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"";"";"";"";"R";"";"";"";"";"";
"1";"6.8V";"DIODE-ZENER-BZT52C3V6S";"SOD-323";"D6";"Zener Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"DIO-08199";"";"";"";"";"";"3.6V";"";"";
"12";"6.8nF 25V";"C-EUC0603";"C0603";"C19, C20, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"C";"";"";"";"";"";
"1";"7443641500";"7443641500";"74436413300";"L1";"Wurth WE-HCF Series Shielded Wire-wound SMD Inductor with a MnZn Core, 15 uH +/-15% 30A Idc";"";"";"";"";"";"";"";"";"Wurth WE-HCF Series Shielded Wire-wound SMD Inductor with a MnZn Core, 15 uH +/-15% 30A Idc";"";"15mm";"";"";"Wurth Elektronik";"7443641500";"";"";"";"710-7443641500";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/7443641500?qs=Zt3UNFD9mQgHteqNok2K9A%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"BAT60J";"BAT60J";"SOD323_ST";"D3, D4, D5";"Schottky barrier diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";"";
"1";"BLADE MOTOR";"PINHD-1X4";"1X04";"MAIN_MOTOR";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"3";"BM05B-PASS_STANDARD";"BM05B-PASS_STANDARD";"BM05B-PASS";"MCU_0, MCU_1, MCU_2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"7";"BSC340N08NS3G";"BSC340N08NS3G";"PG-TDSON-8";"NMOS1, NMOS2, NMOS3, NMOS4, NMOS5, NMOS6, NMOS7";"OptiMOS TM 3 Power-Transistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";
"1";"BUTTONS";"PINHD-1X10";"1X10";"BUTTONS";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35";"";"";"";"";"";"";"";"";"";"";
"1";"BUZZER-PTH";"BUZZER-PTH";"BUZZER-12MM";"BUZZER";"Buzzer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"COMP-08253";"";"COM-07950";"";"";"";"";"";"";
"1";"CP2101";"CP2101";"MLP28";"CP2102";"Single-Chip USB to UART Bridge";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"FARNELL";"";"";"";"";"";"CP2102-GM";"9282130";"30K5635";"";"";"0";"";"";"";"";"";"";"";"";"";"";
"1";"CUTOFF SWITCH";"PINHD-1X4";"1X04";"CUTOFF_SWITCH";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"DISPLAY";"PINHD-1X4";"1X04";"DISPLAY";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"EMERGENCY LIGHT";"PINHD-1X2";"1X02";"EM_LIGHT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
"1";"ESP-32S";"ESP-32S";"ESP-32S";"MCU_3_ESP32";"Ai-Thinker ESP-32S  Check availability";"";"";"Not in stock";"";"";"";"";"";" - - Transceiver Module - - Surface Mount ";"";"";"";"";"";"";"Olimex LTD";"";"";"";"";"ESP-32S";"";"";"";"None";"";"";"None";"";"";"";"";"";"";"";"";"";
"1";"ESP32_CAMERA";"PINHD-1X4";"1X04";"CAMERA";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"91";"";"";"";"";"";"";"";"";"";"";
"1";"FAN_0";"PINHD-1X2";"1X02";"FAN_0";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"98";"";"";"";"";"";"";"";"";"";"";
